Module,Capability,Legacy evidence,API hotovo,UI hotovo,Test hotovo,Runtime prokazano,Manifest pass,Current evidence,Notes
Inventory,Inventory item CRUD,"legacy/hotel-backend/app/web/routes_inventory.py",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/inventory.py; web routes /sklad*",CRUD + movement + tests present; runtime proof remains partial.
Inventory,Ingredient/card split model + pictograms,"legacy/hotel-backend/app/web/routes_inventory.py; templates admin_inventory*.html",YES,YES,YES,NO,YES,"apps/kajovo-hotel-api/app/api/routes/inventory.py; docs/forensics/inventory-legacy-parity-map-2026-03-12.md",Semantic parity is mapped and tested; no dedicated live runtime proof.
Users,Admin user management,"legacy/hotel-backend/app/web/routes.py /admin/users*",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/users.py; apps/kajovo-hotel-admin/src/main.tsx",CRUD/activation/reset-link is implemented; runtime proof remains partial.
Settings,SMTP settings management,"legacy/hotel-backend/app/web/routes.py /admin/settings*",YES,YES,YES,NO,YES,"apps/kajovo-hotel-api/app/api/routes/settings.py; apps/kajovo-hotel-admin/src/main.tsx",Admin SMTP UI and API are present; no production runtime proof for real mail transport.
Profile,Admin profile/password change,"legacy/hotel-backend/app/web/routes.py /admin/profile*",YES,YES,YES,YES,YES,"apps/kajovo-hotel-api/app/api/routes/profile.py; apps/kajovo-hotel-admin/src/main.tsx; apps/kajovo-hotel-api/tests/test_admin_profile.py; deploy workflow live login verify",Admin profile/password flow is code-complete, tested and live admin login is verified after deploy.
Frontend IA,Core module IA routes mapped to code,"legacy/hotel-frontend/templates/admin_sidebar.html",NO,YES,YES,YES,YES,"apps/kajovo-hotel/ux/ia.json; apps/kajovo-hotel-web/src/main.tsx; Playwright navigation coverage",Frontend route surface is live and manifest-audited.
Frontend utility states,Offline/maintenance/404/intro,"legacy had mostly server pages",NO,YES,YES,YES,YES,"apps/kajovo-hotel/ux/ia.json; apps/kajovo-hotel-web/src/routes/utilityStates.tsx; docs/forensics/ui-manifest-closure.md",Utility-state coverage and manifest guards are present with Playwright evidence.
Deploy,Compose + reverse proxy cutover/rollback,"legacy/hotel-backend/deploy/docker-compose.yml",YES,NO,YES,PARTIAL,NOT_APPLICABLE,"infra/compose*.yml; infra/reverse-proxy/*.conf; infra/ops/deploy-production.sh; .github/workflows/deploy-production.yml",Deploy chain exists and now verifies same-SHA server artifact plus health gates; rollback remains script-based and not freshly runtime-rehearsed in this stage.
Ops,Smoke/verify + backup/restore,"legacy deploy scripts + sandbox test runner",YES,NO,YES,PARTIAL,NOT_APPLICABLE,"scripts/release_gate.py; infra/smoke/smoke.sh; infra/verify/verify-deploy.sh; scripts/run_breakfast_runtime_smoke.py",Unified release gate is stronger and archival, but full runtime proof still depends on successful GitHub CI/deploy runs for the target SHA.
Testing,Automated API+web tests,"legacy/hotel-backend/deploy/sandbox/run-tests.sh",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/tests/*.py; apps/kajovo-hotel-web/tests/*.spec.ts; .github/workflows/*.yml",Automated coverage is broad; runtime proof is intentionally tracked separately from test completion.
